MATRICULA,NOME,REPROVACOES_DE,REPROVACOES_EM,REPROVACOES_MF,REPROVACOES_GO,NOTA_DE,NOTA_EM,NOTA_MF,NOTA_GO,INGLES,H_AULA_PRES,TAREFAS_ONLINE,FALTAS,PERFIL,DESV_ENT_NOTAS,SUM_NOTAS
502375,Márcia Illiglener,0,0,0,0,6.2,5.8,4.6,5.9,0,2,4,3,EXATAS,0.70415,22.5
397093,Jason Jytereoman Izoimum,0,0,0,0,6,6.2,5.2,4.5,1,2,4,3,EXATAS,0.78049,21.9
915288,Bartolomeu Inácio da Gama,0,0,0,0,7.3,6.7,7.1,7.2,0,5,0,3,HUMANAS,263,28.3
192652,Fernanda Guedes,1,3,1,1,0,0,0,0,1,4,4,4,DIFICULDADE,0,"0,00"
949491,Alessandre Borba Gomes,1,3,1,1,0,0,0,0,1,5,2,5,DIFICULDADE,0,"0,00"
627360,Magali Hellen Gejibaflião,0,0,0,0,7.3,7.4,7.6,6.5,1,5,3,5,HUMANAS,0.48305,28.8
804493,Tiago Brisu Pires,0,0,0,0,5.8,6,7.3,5.1,1,5,2,6,DIFICULDADE,0.91833,24.2
433789,Andressa Gabrielle da Silva,0,0,0,0,4.9,5,5.9,4.6,,2,2,6,DIFICULDADE,0.55976,20.4
178335,Gilmar Oséas Etonvic,0,0,0,0,4.4,4.8,4.7,4.6,1,3,4,4,DIFICULDADE,0.17078,18.5
987229,Otávia Mônica Noopu,0,0,0,0,6.4,5.4,5,5.5,1,3,5,3,EXATAS,0.5909,22.3
382592,Matheus de Souza dos Pinhais,0,0,0,0,6.9,7.5,7.3,6,0,3,5,5,MUITO_BOM,0.66521,27.7
422026,Marcos de Rezende Espada Bakeu,3,1,1,1,0,0,0,0,,0,1,7,DIFICULDADE,0,"0,00"
483227,Damares Mara Sobi,1,1,1,1,0,0,0,0,,7,5,5,DIFICULDADE,0,"0,00"
816701,Vitor Ragi,3,1,1,1,0,0,0,,0,6,5,3,DIFICULDADE,0,"0,00"
672601,Luiza Tahichi,1,3,1,1,0,0,0,0,,5,2,6,DIFICULDADE,0,"0,00"
